,id,keywords,review count
10,NvbhMp84EtWVFIwVuOs2_w,"['variety', 'singapore', 'japan', 'salty', 'leg', 'noodle', 'locations', 'broth', 'packaging', 'lines', 'compared', 'food', 'lunch', 'skin', 'choices', 'bit expensive', 'varies', 'deserts', 'overcooked']",3
11,AMexPsUO1CRpLm9g4qbojg,"['full', 'beef', 'system', 'highlight', 'macchiato', 'scrambled eggs', 'cater', 'espresso', 'comfy', 'meals', 'floor', 'bill', 'smile', 'wanted', 'feel', 'verdict', 'lines', 'walked', 'efficient', 'food', 'forward', 'choice', 'bagels', 'brisket', 'wife', 'spring rolls', 'worst place', 'grumpy', 'fat', 'choose', 'singapore', 'bruschetta', 'rolls', 'service', 'cool', 'treat', 'mins', 'dare', 'ready', 'yell', 'meatballs', 'beef brisket noodles', 'vegetarians', 'pressed juice', 'people working', 'super fast', 'minutes', 'wave', 'cheap', 'noticed', 'bit', 'people', 'add', 'decorated', 'hugely', 'road', 'fair price', 'leave', 'bunch', 'bits', 'north', 'toast', 'meat', 'pizza', 'kill', 'keen', 'early', 'guy', 'visit', 'meal', 'bottom', 'served', 'world', 'turns', 'giving', 'room', 'cappuccino', 'embarrassing', 'menu', 'special', 'luckily', 'taste', 'fast', 'gave', 'french', 'place', 'half', 'black', 'dry version', 'order', 'drink', 'coffee', 'chance', 'similarly', 'beer', 'left', 'generally', 'person', 'star', 'problem', 'spend', 'arms', 'dissapointed', 'girl', 'soup', 'seafood', 'review', 'works', 'sat', 'smiles', 'free wifi', 'means', 'serve', 'price', 'salami pizza', 'smelt', 'staff', 'ice', 'tender', 'setting', 'shame', 'cup', 'mall', 'read', 'hawkers', 'eventually', 'stars']",11
12,CJmtS1Uk1KSsY2MWol_E7g,"['dining area', 'staying', 'full', 'fight', 'courses', 'version', 'treated', 'inside', 'honesty', 'standouts', 'flavor', 'highlight', 'evident', 'put', 'magic', 'worse', 'chicken rice', 'favorite', 'lunch reservation', 'combination', 'menu options', 'tim ho wan', 'sunday', 'doused', 'scallop dish', 'city center', 'fruit', 'housed', 'day', 'ironically', 'chinatown', 'lots', 'dry ice', 'rare', 'feat', 'roll', 'wanted', 'grabbing', 'red', 'lines', 'temperature', 'hands', 'made', 'set', 'flavored', 'pork inside', 'baked', 'focus', 'food', 'plenty', 'black bean sauce', 'seated', 'chowed', 'juices', 'cupcakes', 'wife', 'shops', 'speak', 'dim sum', 'weekday lunch', 'skin', 'listed', 'combined', 'stop', 'crabs', 'drinks', 'china', 'chef', 'night', 'prepared', 'surprises', 'dish', 'chicken', 'fish fillet', 'relaxing', 'ribs', 'rest', 'stomach space', 'representation', 'thinking', 'stuck', 'attentive', 'rating', 'evening', 'cucumbers', 'hype', 'singapore', 'start', 'direct', 'beverage', 'service', 'packed', 'making', 'premium', 'buns', 'eaten', 'hipster', 'thankfully', 'palate cleanser', 'shumai', 'refreshing', 'minutes', 'opened', 'wagyu', 'thoughtfulness', 'end', 'sun', 'experienced', 'chocolates', 'understand', 'make', 'barista', 'whirl', 'plain vanilla', 'weekend', 'fashion', 'building', 'dinner', 'mind', 'hop', 'bit', 'realize', 'grab', 'fragrance', 'quantity', 'ambiance', 'patience', 'area', 'encountered', 'yuzu', 'result', 'moved', 'city state', 'trek', 'accolades', 'bunch', 'sections', 'candlenut', 'rice', 'speaking', 'meat', 'found', 'neighborhood', 'alongside', 'stalls', 'texture', 'expensive', 'fresh', 'early', 'juicy', 'refined', 'clark quay', 'bite', 'crab', 'meal', 'drenched', 'distinctive', 'glass', 'dishes', 'sauce', 'infused', 'end restaurant', 'brew', 'chili oil', 'gardens', 'amuse bouche', 'petit fours', 'fresher', 'option', 'served', 'bones', 'boot', 'famous chili crab', 'street', 'rolling', 'wines', 'fish dishes', 'generous', 'watch', 'kids', 'bites', 'design', 'nyc', 'marinade', 'folks', 'restaurant', 'presented', 'forgiven', 'vegetarian', 'front', 'stairs', 'famous chicken rice', 'sweet', 'overpriced', 'solid place', 'taste', 'napkins', 'showed', 'shards', 'personable', 'dessert', 'wandered', 'place', 'drink', 'order', 'begin', 'sorbet', 'event', 'tian tian', 'tad', 'swimming', 'open air', 'left', 'dry', 'versions', 'white', 'wet wipes', 'bean curd skin', 'rain', 'cheaper', 'hawker stalls', 'slippery', 'shell', 'shop', 'tasting menu', 'fish maw soup', 'brownie', 'moist', 'breakfast', 'town', 'bed', 'menu items', 'saltiness', 'restrained', 'run', 'decided', 'count', 'escorted', 'food presentation', 'heart', 'focused', 'tiong bahru', 'knew', 'seafood', 'pulling', 'necessarily', 'lined', 'soup', 'corner', 'dine', 'comparison', 'mentioned', 'feels', 'closed', 'oil', 'expecting', 'anthony bourdain', 'share', 'serve', 'middle', 'present', 'trouble', 'leaves', 'staff', 'hotel', 'cilantro', 'european', 'setting', 'modern', 'shows', 'liking', 'felt', 'worried', 'respite', 'wine', 'decor', 'mall', 'relax', 'pork buns', 'king', 'line', 'knives', 'possibly', 'crunchy texture']",5
13,jVHkTL2gCJhQWlmipRzeRQ,"['standards', 'food service', 'outstanding', 'locals', 'tourists', 'restaurant', 'offer', 'experiencing', 'food', 'service', 'jumbo seafood', 'happen', 'timer', 'gordon ramsey']",2
14,_pcRU--2qEN-vPmqTF_rww,"['kill', 'rest', 'unimpressive', 'facing', 'stomach space', 'prices', 'bone marrow', 'meal', 'steak', 'deeply', 'end', 'attitude', 'symmetry', 'reservations', 'make', 'helpful staff', 'waffles', 'brioche', 'marrow', 'feel', 'cheap', 'wall', 'save', 'hearing', 'made', 'helpful', 'lunch', 'menu', 'food', 'staff', 'seated', 'tops', 'rave reviews', 'firstly', 'felt', 'charge', 'seats', 'place', 'list', 'drink', 'blew', 'coffee', 'scoot', 'dish', 'impress']",3
15,OqpiWHnD2LPRLmP3x9BOgw,"['potatoes', 'lastly', 'oyster', 'improving', 'juicy', 'service', 'single', 'specialty', 'meal', 'reserved', 'bite', 'decade', 'dempsey area', 'katsu', 'hang', 'memory', 'reservation', 'environment', 'lasted', 'room', 'experience', 'oil', 'mark', 'forward', 'food', 'piece', 'standard', 'leaves', 'trip', 'frying', 'overpriced', 'seated', 'disappointment', 'winner', 'order', 'improvement', 'drinks', 'pricier', 'chat', 'meat', 'truffle fries', 'detect']",2
16,vU7NMQexL5wDJddTmC2M7w,"['variety', 'array', 'location', 'expensive', 'service', 'children', 'manager', 'past', 'chinese', 'dishes', 'bit pricey', 'finding', 'sumptuous', 'sacrifice', 'hands', 'experience', 'end result', 'restaurant', 'price', 'opinion', 'food', 'challenge', 'setting', 'congested', 'chef', 'desert', 'seat']",4
17,IYyqIahxGAtw5k-FaWMOAQ,"['unimpressive', 'size', 'offer', 'service', 'bistro', 'brunch', 'portion', 'mistake', 'diners', 'space', 'serve tap water', 'drove', 'discreet', 'share', 'staff', 'servings', 'enjoying', 'fast', 'prawn pasta', 'looked', 'complaints']",3
18,RXF7dEiuzqjHwIlOSNBm0Q,"['super soft', 'usd', 'kill', 'stalls', 'plates', 'understanding', 'location', 'singapore', 'early', 'visit', 'put', 'chicken rice', 'single', 'walk', 'order chili crab', 'call', 'give', 'end', 'lots', 'soup', 'chili crab', 'friend', 'reservation', 'complain', 'cost', 'noticed', 'stopped', 'mind', 'show', 'walked', 'folks', 'jumbo seafood', 'food', 'lunch', 'hawker center', 'restaurants', 'states', 'worry', 'food options', 'wifi', 'stall', 'place', 'canal', 'order', 'aware', 'minute', 'bridge', 'told', 'found', 'line', 'browse', 'chicken', 'identify']",2
19,skxAQWpAe1VL_3F4pxqK2A,"['midnight', 'prices', 'crab meat', 'singapore', 'early', 'stall owners', 'banana leaf', 'learn', 'problem', 'ground', 'sauce', 'tourists', 'day', 'chili crab', 'sop', 'food offerings', 'clean', 'hawker centres', 'dinner', 'bit', 'prawn dish', 'efficient', 'annoying', 'morning', 'remember', 'place', 'maintained', 'night', 'spoonful']",2
